,neg,neu,pos,compound
696,0.232,0.636,0.132,-0.296
697,0.0,1.0,0.0,0.0
698,0.078,0.733,0.188,0.3071
699,0.0,0.885,0.115,0.296
700,0.0,1.0,0.0,0.0
701,0.0,0.768,0.232,0.7876
702,0.105,0.622,0.273,0.5423
703,0.0,1.0,0.0,0.0
704,0.0,0.633,0.367,0.4404
705,0.0,1.0,0.0,0.0
706,0.2,0.578,0.222,0.128
707,0.0,1.0,0.0,0.0
708,0.0,1.0,0.0,0.0
709,0.0,0.902,0.098,0.2144
710,0.0,0.913,0.087,0.2057
711,0.383,0.617,0.0,-0.8074
712,0.0,1.0,0.0,0.0
713,0.0,1.0,0.0,0.0
714,0.0,0.818,0.182,0.4588
715,0.0,0.582,0.418,0.7562
716,0.0,0.837,0.163,0.3612
717,0.0,1.0,0.0,0.0
718,0.0,0.833,0.167,0.34
719,0.0,0.0,1.0,0.6486
720,0.0,0.38,0.62,0.5994
721,0.0,1.0,0.0,0.0
722,0.0,0.696,0.304,0.7184
723,0.137,0.863,0.0,-0.4019
724,0.0,1.0,0.0,0.0
725,0.0,0.861,0.139,0.2732
726,0.095,0.905,0.0,-0.296
727,0.0,0.4,0.6,0.8885
728,0.571,0.429,0.0,-0.6114
729,0.0,1.0,0.0,0.0
730,0.0,1.0,0.0,0.0
731,0.0,0.839,0.161,0.3182
732,0.0,0.0,1.0,0.4215
733,0.0,0.57,0.43,0.8316
734,0.0,0.209,0.791,0.5848
735,0.0,0.732,0.268,0.5256
736,0.0,1.0,0.0,0.0
737,0.0,0.284,0.716,0.9117
738,0.296,0.704,0.0,-0.2732
